Lat,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Lon,Province/State,Country/Region,Last Update,date
41.1254,791,17,NA,774,31,51.85960275,10691,NA,2.149178255,84000031,USA,700.924163,NA,-98.2681,Nebraska,US,2020-04-12T23:18:15Z,2020-04-12
38.3135,2836,112,NA,2724,32,94.01010443,24611,282,3.94922426,84000032,USA,815.8260508,9.943582511,-117.0554,Nevada,US,2020-04-12T23:18:15Z,2020-04-12
43.4525,929,23,236,906,33,69.94702398,10925,146,2.475780409,84000033,USA,822.5739902,15.71582347,-71.5639,New Hampshire,US,2020-04-12T23:18:15Z,2020-04-12
40.2989,61850,2350,NA,59500,34,696.3372772,126735,7604,3.799514956,84000034,USA,1426.844055,12.29426031,-74.521,New Jersey,US,2020-04-12T23:18:15Z,2020-04-12
34.8405,1245,26,235,1219,35,74.66119111,28692,78,2.088353414,84000035,USA,1720.625619,6.265060241,-106.2485,New Mexico,US,2020-04-12T23:18:15Z,2020-04-12
42.1657,189033,9385,23887,179648,36,1121.124012,461601,42594,4.964741606,84000036,USA,2737.680538,22.53257368,-74.9481,New York,US,2020-04-12T23:18:15Z,2020-04-12
35.6301,4570,89,NA,4481,37,46.07841902,62139,331,1.947483589,84000037,USA,626.5354222,7.242888403,-79.8064,North Carolina,US,2020-04-12T23:18:15Z,2020-04-12
47.5289,308,7,121,301,38,50.79004911,10350,39,2.272727273,84000038,USA,1706.743533,12.66233766,-99.784,North Dakota,US,2020-04-12T23:18:15Z,2020-04-12
40.3888,6604,253,NA,6351,39,59.10222609,63243,1948,3.831011508,84000039,USA,565.9906245,29.49727438,-82.7649,Ohio,US,2020-04-12T23:18:15Z,2020-04-12
35.5653,1970,96,865,1874,40,53.85995428,22760,446,4.873096447,84000040,USA,622.2601824,22.63959391,-96.9289,Oklahoma,US,2020-04-12T23:18:15Z,2020-04-12
44.572,1527,52,NA,1475,41,38.1076067,29758,359,3.405370007,84000041,USA,742.6366471,23.51015062,-122.0709,Oregon,US,2020-04-12T23:18:15Z,2020-04-12
40.5908,22938,557,NA,22381,42,182.2284446,124890,2097,2.428284942,84000042,USA,992.175013,9.142035051,-77.2098,Pennsylvania,US,2020-04-12T23:18:15Z,2020-04-12
18.2208,897,44,NA,853,72,30.57876709,6716,NA,4.905239688,630,PRI,228.9487177,NA,-66.5901,Puerto Rico,US,2020-04-12T23:18:15Z,2020-04-12
41.6809,2665,63,35,2602,44,251.5667464,20350,201,2.363977486,84000044,USA,1920.969339,7.542213884,-71.5118,Rhode Island,US,2020-04-12T23:18:15Z,2020-04-12
33.8569,3320,82,NA,3238,45,65.87334263,31425,496,2.469879518,84000045,USA,623.5149976,14.93975904,-80.945,South Carolina,US,2020-04-12T23:18:15Z,2020-04-12
44.2998,730,6,197,724,46,99.19933903,8553,43,0.821917808,84000046,USA,1162.262941,5.890410959,-99.4388,South Dakota,US,2020-04-12T23:18:15Z,2020-04-12
35.7478,5508,106,1504,5402,47,83.90037425,70677,567,1.924473493,84000047,USA,1076.584377,10.29411765,-86.6923,Tennessee,US,2020-04-12T23:18:15Z,2020-04-12
31.0545,13677,283,2014,13394,48,59.50516088,124533,1338,2.069167215,84000048,USA,541.811523,9.782847116,-97.5635,Texas,US,2020-04-12T23:18:15Z,2020-04-12
40.15,2303,18,NA,2285,49,80.3592053,44234,195,0.781589231,84000049,USA,1543.468991,8.467216674,-111.8624,Utah,US,2020-04-12T23:18:15Z,2020-04-12
44.0459,727,27,15,700,50,119.0649715,9841,34,3.71389271,84000050,USA,1611.717172,4.676753783,-72.7107,Vermont,US,2020-04-12T23:18:15Z,2020-04-12
37.7693,5274,141,NA,5133,51,66.69845192,39985,751,2.673492605,84000051,USA,505.6764505,14.23966629,-78.17,Virginia,US,2020-04-12T23:18:15Z,2020-04-12
47.4009,10609,506,NA,10103,53,140.5276682,93615,642,4.7695353,84000053,USA,1240.031828,6.051465737,-121.4905,Washington,US,2020-04-12T23:18:15Z,2020-04-12
38.4912,593,6,83,587,54,44.82244115,16257,81,1.011804384,84000054,USA,1228.800044,13.65935919,-80.9545,West Virginia,US,2020-04-12T23:18:15Z,2020-04-12
44.2685,3341,144,NA,3197,55,64.56573888,39257,974,4.3100868,84000055,USA,758.6522632,29.15294822,-89.6165,Wisconsin,US,2020-04-12T23:18:15Z,2020-04-12
42.756,270,0,137,270,56,54.29973453,5459,40,0,84000056,USA,1097.860188,14.81481481,-107.3025,Wyoming,US,2020-04-12T23:18:15Z,2020-04-12
-14.271,0,0,NA,0,60,0,3,NA,NA,16,ASM,5.391707554,NA,-170.1322,American Samoa,US,NA,NA
15.0979,11,2,NA,9,69,19.9477731,38,NA,18.18181818,580,MNP,68.9104889,NA,145.6739,Northern Mariana Islands,US,2020-04-12T23:18:15Z,2020-04-12
NA,0,0,32988,-32988,NA,NA,NA,NA,NA,84070001,USA,NA,NA,NA,Recovered,US,NA,NA
18.3358,51,1,43,50,NA,47.54446806,350,3,1.960784314,850,VIR,326.2855651,5.882352941,-64.8963,Virgin Islands,US,NA,NA
32.3182,3734,99,NA,3635,1,79.63493333293523,29182,457,2.6513122656668453,84000001,USA,622.3638523089759,12.23888591322978,-86.9023,Alabama,US,2020-04-13T23:07:54Z,2020-04-13
61.3707,277,8,85,269,2,46.34052085407085,7830,32,2.888086642599278,84000002,USA,1309.9143620482844,11.552346570397113,-152.4044,Alaska,US,2020-04-13T23:07:54Z,2020-04-13
-14.270999999999999,0,0,NA,NA,60,0,3,NA,NA,16,ASM,5.3917075537822825,NA,-170.132,American Samoa,US,NA,NA
33.7298,3705,122,NA,3583,4,50.90182789082197,43347,525,3.292847503373819,84000004,USA,595.5307782951309,14.17004048582996,-111.4312,Arizona,US,2020-04-13T23:07:54Z,2020-04-13
34.9697,1410,29,391,1381,5,54.46061396810462,20804,130,2.0567375886524824,84000005,USA,803.5451155974812,9.21985815602837,-92.3731,Arkansas,US,2020-04-13T23:07:54Z,2020-04-13
36.1162,23931,714,NA,23217,6,61.035047905282056,190882,3015,2.987756466507877,84000006,USA,486.8368231271593,12.598721323805941,-119.6816,California,US,2020-04-13T23:07:54Z,2020-04-13
39.0598,7691,306,NA,7385,8,135.7200246417166,37534,1472,3.9786763749837473,84000008,USA,662.3476017295789,19.139253673124433,-105.3111,Colorado,US,2020-04-13T23:07:54Z,2020-04-13
41.5978,13381,602,NA,12779,9,375.31340394195473,44309,1760,4.498916373963082,84000009,USA,1242.7891499337923,13.152978103280772,-72.7554,Connecticut,US,2020-04-13T23:07:54Z,2020-04-13
39.3185,1758,41,213,1717,10,180.53655711240094,11820,201,2.3321956769055747,84000010,USA,1213.8464761482248,11.433447098976108,-75.5071,Delaware,US,2020-04-13T23:07:54Z,2020-04-13
NA,49,0,0,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,Diamond Princess,US,2020-04-13T23:07:54Z,2020-04-13
38.8974,1955,52,507,1903,11,277.0106652648463,10934,295,2.659846547314578,84000011,USA,1549.276017394286,15.089514066496164,-77.0268,District of Columbia,US,2020-04-13T23:07:54Z,2020-04-13
27.7663,21019,499,NA,122520,12,579.3871934514303,196207,2833,0.40562839886521596,84000012,USA,924.083459185368,2.3028963005714562,-81.6868,Florida,US,2020-04-14T00:42:00Z,2020-04-14
33.0406,13315,465,NA,12850,13,131.31949811985785,57021,2589,3.492301915133308,84000013,USA,562.3709427181686,19.444235824258357,-83.6431,Georgia,US,2020-04-13T23:07:54Z,2020-04-13
