ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Ghana,2020-04-12T00:00:00.000Z,566,8,648129,-1.20704619,7.95964382,Ghana,加纳,Ghana,Ghana,Гана,غانا
Côte d’Ivoire,2020-04-12T00:00:00.000Z,533,4,648130,-5.55549992,7.6317253,Côte d’Ivoire,科特迪瓦,Côte d'Ivoire,Côte d'Ivoire,Кот-д'Ивуар,كوت ديفوار
Niger,2020-04-12T00:00:00.000Z,529,12,648131,9.39765754,17.42632282,Niger,尼日尔,Niger,Níger,Нигер,النيجر
Burkina Faso,2020-04-12T00:00:00.000Z,443,19,648132,-1.73983521,12.27793715,Burkina Faso,布基纳法索,Burkina Faso,Burkina Faso,Буркина-Фасо,بوركينا فاسو
Mauritius,2020-04-12T00:00:00.000Z,324,9,648133,57.868476,-20.1700678,Mauritius,毛里求斯,Maurice,Mauricio,Маврикий,موريشيوس
Nigeria,2020-04-12T00:00:00.000Z,323,10,648134,8.10527726,9.59360399,Nigeria,尼日利亚,Nigéria,Nigeria,Нигерия,نيجيريا
Senegal,2020-04-12T00:00:00.000Z,280,2,648135,-14.46817708,14.36697954,Senegal,塞内加尔,Sénégal,Senegal,Сенегал,السنغال
Guinea,2020-04-12T00:00:00.000Z,250,0,648136,-10.94182542,10.43854094,Guinea,几内亚,Guinée,Guinea,Гвинея,غينيا
Democratic Republic of the Congo,2020-04-12T00:00:00.000Z,235,20,648137,23.65431545,-2.87622576,Democratic Republic of the Congo,刚果民主共和国,République démocratique du Congo,República Democrática del Congo,Демократическая Республика Конго,جمهورية الكونغو الديمقراطية 
Kenya,2020-04-12T00:00:00.000Z,197,8,648138,37.85786442,0.52978018,Kenya,肯尼亚,Kenya,Kenya,Кения,كينيا
Rwanda,2020-04-12T00:00:00.000Z,126,0,648139,29.91720553,-1.99796798,Rwanda,卢旺达,Rwanda,Rwanda,Руанда,رواندا
Madagascar,2020-04-12T00:00:00.000Z,106,0,648140,46.70599248,-19.37352133,Madagascar,马达加斯加,Madagascar,Madagascar,Мадагаскар,مدغشقر
Mali,2020-04-12T00:00:00.000Z,87,7,648141,-3.52433672,17.35036933,Mali,马里,Mali,Malí,Мали,مالي
Togo,2020-04-12T00:00:00.000Z,76,3,648142,0.97584596,8.53491037,Togo,多哥,Togo,Togo (el),Того,توغو
Ethiopia,2020-04-12T00:00:00.000Z,71,3,648143,39.61601894,8.62613927,Ethiopia,埃塞俄比亚,Éthiopie,Etiopía,Эфиопия,إثيوبيا
Congo,2020-04-12T00:00:00.000Z,70,5,648144,15.22427459,-0.84006603,Congo,刚果,Congo,Congo (el),Конго,الكونغو
Gabon,2020-04-12T00:00:00.000Z,57,1,648145,11.79715762,-0.59067797,Gabon,加蓬,Gabon,Gabón,Габон,غابون
Uganda,2020-04-12T00:00:00.000Z,54,0,648146,32.38622999,1.28008463,Uganda,乌干达,Ouganda,Uganda,Уганда,أوغندا
Liberia,2020-04-12T00:00:00.000Z,50,5,648147,-9.30784656,6.44811846,Liberia,利比里亚,Libéria,Liberia,Либерия,ليبريا
Zambia,2020-04-12T00:00:00.000Z,43,2,648148,27.79788004,-13.45307543,Zambia,赞比亚,Zambie,Zambia,Замбия,زامبيا
Guinea-Bissau,2020-04-12T00:00:00.000Z,39,0,648149,-14.98748401,12.0161983,Guinea-Bissau,几内亚比绍,Guinée-Bissau,Guinea-Bissau,Гвинея-Бисау,غينيا - بيساو
Benin,2020-04-12T00:00:00.000Z,35,1,648150,2.34326271,9.64764997,Benin,贝宁,Bénin,Benin,Бенин,بنن
Eritrea,2020-04-12T00:00:00.000Z,34,0,648151,38.85292555,15.35884102,Eritrea,厄立特里亚,Érythrée,Eritrea,Эритрея,إريتريا
United Republic of Tanzania,2020-04-12T00:00:00.000Z,32,3,648152,34.82340201,-6.27019905,United Republic of Tanzania,坦桑尼亚联合共和国,République-Unie de Tanzanie,República Unida de Tanzanía,Объединенная Республика Танзания,جمهورية تنزانيا المتحدة
Mozambique,2020-04-12T00:00:00.000Z,20,0,648153,35.55226053,-17.26019392,Mozambique,莫桑比克,Mozambique,Mozambique,Мозамбик,موزامبيق
Angola,2020-04-12T00:00:00.000Z,19,2,648154,17.54379621,-12.29575318,Angola,安哥拉,Angola,Angola,Ангола,أنغولا
Chad,2020-04-12T00:00:00.000Z,18,0,648155,18.66460339,15.3611457,Chad,乍得,Tchad,Chad (el),Чад,تشاد
Equatorial Guinea,2020-04-12T00:00:00.000Z,18,0,648156,10.33849628,1.7101686,Equatorial Guinea,赤道几内亚,Guinée équatoriale,Guinea Ecuatorial,Экваториальная Гвинея,غينيا الاستوائية
Namibia,2020-04-12T00:00:00.000Z,16,0,648157,17.21845028,-22.13329329,Namibia,纳米比亚,Namibie,Namibia,Намибия,ناميبيا
Eswatini,2020-04-12T00:00:00.000Z,14,0,648158,31.4971888,-26.56211674,Eswatini,斯威士兰,Eswatini,Eswatini,Эсватини,إسواتيني
Zimbabwe,2020-04-12T00:00:00.000Z,14,3,648159,29.87175983,-19.00000577,Zimbabwe,津巴布韦,Zimbabwe,Zimbabwe,Зимбабве,زمبابوي
Botswana,2020-04-12T00:00:00.000Z,13,1,648160,23.8150775,-22.18204202,Botswana,博茨瓦纳,Botswana,Botswana,Ботсвана,بوتسوانا
Malawi,2020-04-12T00:00:00.000Z,13,2,648161,34.30698504,-13.21510424,Malawi,马拉维,Malawi,Malawi,Малави,ملاوي
Central African Republic,2020-04-12T00:00:00.000Z,11,0,648162,20.48278081,6.57145342,Central African Republic,中非共和国,République centrafricaine,República Centroafricana,Центральноафриканская Республика,جمهورية أفريقيا الوسطى
Seychelles,2020-04-12T00:00:00.000Z,11,0,648163,52.23005901,-6.39906405,Seychelles,塞舌尔,Seychelles,Seychelles,Сейшельские Острова,سيشيل
Sierra Leone,2020-04-12T00:00:00.000Z,10,0,648164,-11.7921029,8.56034092,Sierra Leone,塞拉利昂,Sierra Leone,Sierra Leona,Сьерра-Леоне,سيراليون
Gambia,2020-04-12T00:00:00.000Z,9,1,648165,-15.3856196,13.4529444,Gambia,冈比亚,Gambie,Gambia,Гамбия,غامبيا
Cabo Verde,2020-04-12T00:00:00.000Z,7,1,648166,-23.545,14.928,Cabo Verde,佛得角,Cabo Verde,Cabo Verde,Кабо-Верде,كابو فيردي
Mauritania,2020-04-12T00:00:00.000Z,7,1,648167,-10.33226041,20.25990361,Mauritania,毛里塔尼亚,Mauritanie,Mauritania,Мавритания,موريتانيا
Burundi,2020-04-12T00:00:00.000Z,5,0,648168,29.88682139,-3.35629712,Burundi,布隆迪,Burundi,Burundi,Бурунди,بوروندي
Sao Tome and Principe,2020-04-12T00:00:00.000Z,4,0,648169,6.73729084,0.45825363,Sao Tome and Principe,圣多美和普林西比,Sao Tomé-et-Principe,Santo Tomé y Príncipe,Сан-Томе и Принсипи,سان تومي وبرينسيبي
South Sudan,2020-04-12T00:00:00.000Z,4,0,648170,30.34067655,7.27961187,South Sudan,南苏丹,Soudan du Sud, Sudán del Sur ,Южный Судан,جنوب السودان
Réunion,2020-04-12T00:00:00.000Z,389,0,648171,55.53821274,-21.12162946,Réunion,"留尼汪岛
",,,,
Mayotte,2020-04-12T00:00:00.000Z,207,3,648172,45.13926174,-12.81835006,Mayotte,"马约特岛
",,,,
International conveyance (Diamond Princess),2020-04-12T00:00:00.000Z,712,12,648173,,,International conveyance (Diamond Princess),国际交通工具（“钻石公主号”邮轮）),,,,
