ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Czechia,2020-04-12T00:00:00.000Z,5902,129,647999,15.33833995,49.74303614,Czechia,捷克,Tchéquie,Chequia,Чехия,تشيكيا
Serbia,2020-04-12T00:00:00.000Z,3380,74,648000,20.81133086,44.03387222,Serbia,塞尔维亚,Serbie,Serbia,Сербия,صربيا
Luxembourg,2020-04-12T00:00:00.000Z,3270,62,648001,6.08754416,49.77096396,Luxembourg,卢森堡,Luxembourg,Luxemburgo,Люксембург,لكسمبرغ
Finland,2020-04-12T00:00:00.000Z,2905,49,648002,26.2588423,64.49433129,Finland,芬兰,Finlande,Finlandia,Финляндия,فنلندا
Ukraine,2020-04-12T00:00:00.000Z,2777,83,648003,31.38784552,49.01609429,Ukraine,乌克兰,Ukraine,Ucrania,Украина,أوكرانيا
Belarus,2020-04-12T00:00:00.000Z,2226,23,648004,28.04696448,53.54021951,Belarus,白俄罗斯,Bélarus,Belarús,Беларусь,بيلاروس
Greece,2020-04-12T00:00:00.000Z,2081,93,648005,22.9879848,39.04452874,Greece,希腊,Grèce,Grecia,Греция,اليونان
Iceland,2020-04-12T00:00:00.000Z,1689,8,648006,-18.6057026,64.99764998,Iceland,冰岛,Islande,Islandia,Исландия,آيسلندا
Republic of Moldova,2020-04-12T00:00:00.000Z,1560,30,648007,28.47434317,47.19332561,Republic of Moldova,摩尔多瓦共和国,République de Moldova,la República de Moldova,Республика Молдова, جمهورية مولدوفا
Croatia,2020-04-12T00:00:00.000Z,1534,21,648008,16.40934249,45.04363696,Croatia,克罗地亚,Croatie,Croacia,Хорватия,كرواتيا
Hungary,2020-04-12T00:00:00.000Z,1410,99,648009,19.41342813,47.16647906,Hungary,匈牙利,Hongrie,Hungría,Венгрия,هنغاريا
Estonia,2020-04-12T00:00:00.000Z,1304,24,648010,25.5257709,58.67400787,Estonia,爱沙尼亚,Estonie,Estonia,Эстония,إستونيا
Slovenia,2020-04-12T00:00:00.000Z,1188,50,648011,14.82707444,46.12355026,Slovenia,斯洛文尼亚,Slovénie,Eslovenia,Словения,سلوفينيا
Azerbaijan,2020-04-12T00:00:00.000Z,1058,11,648012,47.53232681,40.2922195,Azerbaijan,阿塞拜疆,Azerbaïdjan,Azerbaiyán,Азербайджан,أذربيجان
Lithuania,2020-04-12T00:00:00.000Z,1053,23,648013,23.89683075,55.33585013,Lithuania,立陶宛,Lituanie,Lituania,Литва,ليتوانيا
Armenia,2020-04-12T00:00:00.000Z,1013,13,648014,44.94793424,40.28641688,Armenia,亚美尼亚,Arménie,Armenia,Армения,أرمينيا
Bosnia and Herzegovina,2020-04-12T00:00:00.000Z,948,37,648015,17.78861095,44.16643966,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,Bosnie-Herzégovine,Bosnia y Herzegovina,Босния и Герцеговина,البوسنة والهرسك
Kazakhstan,2020-04-12T00:00:00.000Z,897,10,648016,67.30130018,48.1600427,Kazakhstan,哈萨克斯坦,Kazakhstan,Kazajstán,Казахстан,كازاخستان
North Macedonia,2020-04-12T00:00:00.000Z,828,34,648017,21.6991485,41.59922075,North Macedonia,北马其顿,Macédoine du Nord,Macedonia del Norte,Северная Македония,مقدونيا الشمالية
Uzbekistan,2020-04-12T00:00:00.000Z,796,3,648018,63.16950578,41.75041661,Uzbekistan,乌兹别克斯坦,Ouzbékistan,Uzbekistán,Узбекистан,أوزبكستان
Slovakia,2020-04-12T00:00:00.000Z,728,2,648019,19.49145028,48.7073588,Slovakia,斯洛伐克,Slovaquie,Eslovaquia,Словакия,سلوفاكيا
Bulgaria,2020-04-12T00:00:00.000Z,661,28,648020,25.23475756,42.76032141,Bulgaria,保加利亚,Bulgarie,Bulgaria,Болгария,بلغاريا
Latvia,2020-04-12T00:00:00.000Z,630,3,648021,24.92915332,56.85766939,Latvia,拉脱维亚,Lettonie,Letonia,Латвия,لاتفيا
Andorra,2020-04-12T00:00:00.000Z,622,28,648022,1.57568833,42.54858297,Andorra,安道尔,Andorre,Andorra,Андорра,أندورا
Cyprus,2020-04-12T00:00:00.000Z,616,15,648023,33.21863708,35.04299175,Cyprus,塞浦路斯,Chypre,Chipre,Кипр,قبرص
Albania,2020-04-12T00:00:00.000Z,446,23,648024,20.06917817,41.14595803,Albania,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
Kyrgyzstan,2020-04-12T00:00:00.000Z,377,5,648025,74.555493,41.46490717,Kyrgyzstan,吉尔吉斯斯坦,Kirghizistan,Kirguistán,Кыргызстан,قيرغيزستان
Malta,2020-04-12T00:00:00.000Z,370,3,648026,14.40457358,35.92036651,Malta,马耳他,Malte,Malta,Мальта,مالطة
San Marino,2020-04-12T00:00:00.000Z,356,35,648027,12.46035762,43.94191474,San Marino,圣马力诺,Saint-Marin,San Marino,Сан-Марино,سان مارينو
Montenegro,2020-04-12T00:00:00.000Z,262,2,648028,19.26458919,42.79659203,Montenegro,黑山,Monténégro,Montenegro,Черногория,الجبل الأسود
Georgia,2020-04-12T00:00:00.000Z,252,3,648029,43.51757115,42.17632583,Georgia,格鲁吉亚,Géorgie,Georgia,Грузия,جورجيا
Liechtenstein,2020-04-12T00:00:00.000Z,80,1,648030,9.55526493,47.15259548,Liechtenstein,"列支敦士登
",,,,
Monaco,2020-04-12T00:00:00.000Z,54,0,648031,7.41201715,43.75034615,Monaco,摩纳哥,Monaco,Mónaco,Монако,موناكو
Holy See,2020-04-12T00:00:00.000Z,8,0,648032,12.48571114,41.89324195,Holy See,"梵蒂冈
",,,,
Kosovo[1],2020-04-12T00:00:00.000Z,283,7,648033,20.81133086,44.03387222,Kosovo[1],科索沃[1],,,,
Isle of Man,2020-04-12T00:00:00.000Z,204,1,648034,-4.52652992,54.2288333,Isle of Man,"马恩岛
",,,,
Guernsey,2020-04-12T00:00:00.000Z,200,6,648035,-2.57582282,49.4590463,Guernsey,"根西岛
",,,,
Jersey,2020-04-12T00:00:00.000Z,198,4,648036,-2.12891773,49.21949816,Jersey,"泽西岛
",,,,
Faroe Islands,2020-04-12T00:00:00.000Z,184,0,648037,-6.86363602,62.050314,Faroe Islands,"法罗群岛
",,,,
Gibraltar,2020-04-12T00:00:00.000Z,113,1,648038,-5.34488893,36.1381932,Gibraltar,"直布罗陀
",,,,
