ADM0_NAME,ADM1_NAME,DateOfReport,DateOfDataEntry,new_conf,cum_conf,cum_death,EPIWeek,EPIYear,ID,VIZ_NAME,GUID,ADM1_NAME_ZH,ADM1_VIZNAME_FR,ADM1_VIZNAME_ES,ADM1_VIZNAME_RU,ADM1_VIZNAME_AR
CHINA,YUNNAN,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,184,2,15,2020,161358,Yunnan,6e77762f-3a6f-4c97-83f7-352ba53f4eed,云南省 ,Yunnan,Yunnan,Yunnan,Yunnan
CHINA,XIZANG,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,1,0,15,2020,161359,Xizang,e916c800-8209-4b3b-8fda-21c2a2dc3e19,西藏自治区 ,Xizang,Xizang,Xizang,Xizang
CHINA,SHAANXI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,256,3,15,2020,161360,Shaanxi,9a8d1190-cfe7-4b96-9af4-6323a8bb811f,陕西省 ,Shaanxi,Shaanxi,Shaanxi,Shaanxi
CHINA,GANSU,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,1,139,2,15,2020,161361,Gansu,34bc25f0-a5ec-4155-9347-bed086078d10,甘肃省 ,Gansu,Gansu,Gansu,Gansu
CHINA,QINGHAI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,18,0,15,2020,161362,Qinghai,98af026f-142b-4e44-b97e-a693ad1f7be2,青海省 ,Qinghai,Qinghai,Qinghai,Qinghai
CHINA,NINGXIA,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,75,0,15,2020,161363,Ningxia,40d29323-c099-430a-815c-de7bcacdd6f8,宁夏回族自治区 ,Ningxia,Ningxia,Ningxia,Ningxia
CHINA,XINJIANG,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,76,3,15,2020,161364,Xinjiang,4f928375-7727-42a3-a18a-4ea52b8f6290,新疆维吾尔自治区 ,Xinjiang,Xinjiang,Xinjiang,Xinjiang
CHINA,TAIPEI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,8,363,5,15,2020,161365,Taipei,cf80c4a5-6726-42d3-9df5-ec966f01a66a,台北,Taipei,Taipei,Taipei,Taipei
CHINA,HONG KONG SAR,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,28,890,4,15,2020,161366,Hong Kong SAR,1d6ae174-b847-45c5-8b3a-0463a55a87de,香港特别行政区 ,Hong Kong SAR,Hong Kong SAR,Hong Kong SAR,Hong Kong SAR
CHINA,MACAO SAR,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,44,0,15,2020,161367,Macao SAR,3f3de6d2-1d43-4a64-990c-d9243ebdec04,澳门特别行政区 ,Macao SAR,Macao SAR,Macao SAR,Macao SAR
